都道府県,高校名,郵便番号,住所,学校独自URL
三重県,英心高等学校,516-0009,三重県 伊勢市河崎1-3-25,https://www.eishin-hs.ed.jp/
三重県,一志学園高等学校（通信制）,515-2524,三重県 津市一志町大仰326,http://ichishigakuen.ed.jp/
三重県,高田高等学校,514-0114,三重県 津市一身田町2843,https://www.mie-takada-hj.ed.jp/
三重県,大橋学園高等学校（通信制）,510-0066,三重県 四日市市南浜田町4-21,http://www.ohashigh.ed.jp/
三重県,セントヨゼフ女子学園高等学校,514-0823,三重県 津市半田1330,https://sjjg.ac.jp/
三重県,神村学園高等部通信課程　伊賀分校（通信制）,518-0204,三重県 伊賀市北山1373,http://angel.kamimura.ac.jp/koiki/iga_web/
三重県,松阪工業高等学校（定時制）,515-0073,三重県 松阪市殿町1417,http://www.mie-c.ed.jp/tmatus/
三重県,上野高等学校（定時制）,518-0873,三重県 伊賀市上野丸之内107,http://www.mie-c.ed.jp/hueno/
三重県,津田学園高等学校,511-0904,三重県 桑名市野田5-3-12,https://www.tsudagakuen.ac.jp/koukou/
三重県,名張高等学校（定時制）,518-0711,三重県 名張市東町2067-2,http://www.mie-c.ed.jp/hnabar/
三重県,尾鷲高等学校（定時制）,519-3659,三重県 尾鷲市古戸野町3-12,http://www.mie-c.ed.jp/howase/
三重県,三重高等学校,515-8533,三重県 松阪市久保町1232,https://www.mie-mie-h.ed.jp
三重県,四日市メリノール学院高等学校,512-1205,三重県 四日市市平尾町2800,https://maryknoll.ed.jp/
三重県,代々木高等学校　志摩賢島本校（通信制）,517-0502,三重県 志摩市阿児町神明723-8(志摩賢島本校),http://www.yoyogi.ed.jp
三重県,北星高等学校（通信制）,510-8027,三重県 四日市市大字茂福字横座668-1,http://www.mie-c.ed.jp/hyokka/tusin/
三重県,青山高等学校,515-2692,三重県 津市白山町八対野2739,https://aoyama-h.ed.jp/
三重県,松阪高等学校（通信制）,515-8577,三重県 松阪市垣鼻町1664,http://www.mie-c.ed.jp/hmatus/hp-tsuushin/index_tsuushin.htm
三重県,愛農学園農業高等学校,518-0221,三重県 伊賀市別府690,http://www.ainogakuen.ed.jp
三重県,伊勢まなび高等学校（定時制）,516-0016,三重県 伊勢市神田久志本町1560,http://www.mie-c.ed.jp/bise/
三重県,四日市工業高等学校（定時制）,510-0886,三重県 四日市市日永東3-4-63,http://www.mie-c.ed.jp/tyokka/teiji/index.html
三重県,桑名高等学校,511-0811,三重県 桑名市東方1795,https://www.kuwana-h.ed.jp/top.html
三重県,北星高等学校（定時制）,510-0827,三重県 四日市市大字茂福字横座668-1,http://www.mie-c.ed.jp/hhokus/
三重県,木本高等学校（定時制）,519-4394,三重県 熊野市木本町1101-4,http://www.mie-c.ed.jp/hkimot/
三重県,みえ夢学園高等学校（定時制）,514-0803,三重県 津市柳山津興1239,http://www.mie-c.ed.jp/hmieyu/
三重県,徳風高等学校（通信制）,519-0145,三重県 亀山市和賀町1789-4,http://www.mietokufu.ed.jp/
三重県,桜丘高等学校,518-0192,三重県 伊賀市下神戸2756,https://sakura-gaoka.ed.jp/
京都府,京都国際高等学校,605-0978,京都府 京都市東山区今熊野本多山町1番地,https://kyoto-kokusai.ed.jp/jp/
京都府,京都産業大学附属高等学校,600-8577,京都府 京都市下京区中堂寺命婦町1-10,https://jsh.kyoto-su.ac.jp/
京都府,福知山淑徳高等学校,620-0936,京都府 福知山市正明寺36-10,https://www.kan-on-sen-ku.ed.jp/
京都府,京都芸術高等学校,611-0011,京都府 宇治市五ヶ庄西浦6-2,https://www.kyoto-geikou.ed.jp/
京都府,京都市立京都堀川音楽高等学校,604-0052,京都府 京都市中京区油小路通御池押油小路町238-1,https://horion.ed.jp/
京都府,京都暁星高等学校,626-0065,京都府 宮津市獅子崎30,https://kghs.ed.jp/
京都府,大谷高等学校,605-0965,京都府 京都市東山区今熊野池田町12,https://www.otani.ed.jp/
京都府,京都翔英高等学校,611-0013,京都府 宇治市莵道大垣内33-10,http://www.kyoto-shoei.ac.jp/
京都府,ノートルダム女学院高等学校,606-8423,京都府 京都市左京区鹿ケ谷桜谷町110,https://www.notredame-jogakuin.ed.jp/
京都府,京都両洋高等学校,604-8851,京都府 京都市中京区壬生上大竹町13,https://www.kyoto-ryoyo.ed.jp/
京都府,飛鳥未来きぼう高等学校　京都キャンパス（通信制）,600-8031,京都府 京都市下京区寺町通四条下る貞安前之町589TM四条寺町ビル5階,
京都府,龍谷大学付属平安高等学校,600-8267,京都府 京都市下京区大宮通七条上ル御器屋町30,https://www.heian.ed.jp
京都府,京都文教高等学校,606-8344,京都府 京都市左京区岡崎円勝寺町5,http://www.kbu.ac.jp/
京都府,京都女子高等学校,605-8501,京都府 京都市東山区今熊野北日吉町17,https://kgs.ed.jp/
京都府,京都先端科学大学附属高等学校,616-8036,京都府 京都市右京区花園寺ノ中町8,https://www.js.kuas.ac.jp/
京都府,京都市立美術工芸高等学校,600-8252,京都府 京都市下京区川端町15,https://cms.edu.city.kyoto.jp/weblog/index.php?id=300407
京都府,同志社国際高等学校,610-0321,京都府 京田辺市多々羅都谷60-1,https://www.intnl.doshisha.ac.jp/
京都府,京都廣学館高等学校,619-0245,京都府 相楽郡精華町下狛中垣内48,https://kyoto-kogakkan.mkg.ac.jp
京都府,京都聖カタリナ高等学校,622-0002,京都府 南丹市園部町美園町1-78,https://www.catalina-kyoto.ed.jp/
京都府,京都外大西高等学校,615-0074,京都府 京都市右京区山ノ内苗町37,https://www.kufs.ac.jp/
京都府,洛陽総合高等学校,604-8453,京都府 京都市中京区西ノ京春日町8,https://www.rakuyo.ed.jp/
京都府,京都聖母学院高等学校,612-0878,京都府 京都市伏見区深草田谷町1,https://www.seibo.ed.jp/kyoto-hs/
京都府,洛南高等学校,601-8478,京都府 京都市南区壬生通八条下る東寺町559,https://www.rakunan-h.ed.jp/
京都府,京都明徳高等学校,610-1111,京都府 京都市西京区大枝東長町3-8,https://www.meitoku.ac.jp/
京都府,京都橘高等学校,612-8026,京都府 京都市伏見区桃山町伊賀50,https://www.tachibana-hs.jp/
京都府,京都廣学館高等学校（通信制）,619-0245,京都府 相楽郡精華町下狛中垣内48番地,https://kyoto-kogakkan.mkg.ac.jp/step-up/
京都府,平安女学院高等学校,602-8013,京都府 京都市上京区下立売通烏丸西入五町目町172-2,https://jh.heian.ac.jp/
京都府,日星高等学校,624-0913,京都府 舞鶴市上安久381,https://www.nisseihs.ed.jp/
京都府,同志社高等学校,606-8558,京都府 京都市左京区岩倉大鷺町89,https://js.doshisha.ac.jp/high/
京都府,Ｎ高等学校・Ｓ高等学校　京都山科キャンパス（通信制）,607-8035,京都府 京都市山科区四ノ宮神田町4古橋山科ビル4階,
京都府,Ｎ高等学校・Ｓ高等学校　京都四条烏丸キャンパス（通信制）,600-8413,京都府 京都市下京区烏丸通仏光寺下ル大政所町680インターワンプレイス烏丸II 9階,
京都府,海洋高等学校,626-0074,京都府 宮津市字上司1567-1,https://www.kyoto-be.ne.jp/kaiyou-hs/cms/
京都府,城陽高等学校,610-0121,京都府 城陽市寺田宮ノ平1,https://www.kyoto-be.ne.jp/jyouyou-hs/mt/
京都府,京都府立工業高等学校,620-0804,京都府 福知山市石原上野45,https://www.kyoto-be.ne.jp/kyoto-ths/
京都府,宮津天橋高等学校 宮津学舎,626-0034,京都府 宮津市滝馬23,https://www.kyoto-be.ne.jp/miyazutenkyou-hs/mt/
京都府,山城高等学校,603-8335,京都府 京都市北区大将軍坂田町29,https://www.kyoto-be.ne.jp/yamashiro-hs/mt/
京都府,須知高等学校,622-0231,京都府 船井郡京丹波町豊田下川原166-1,https://www.kyoto-be.ne.jp/syuuchi-hs/mt/
京都府,京都府立鴨沂高等学校,602-0867,京都府 京都市上京区寺町通荒神口下ル松蔭町131,https://www.kyoto-be.ne.jp/ohki-hs/mt/
京都府,大江高等学校,620-0303,京都府 福知山市大江町金屋578,https://www.kyoto-be.ne.jp/ooe-hs/cms/
京都府,田辺高等学校,610-0361,京都府 京田辺市河原神谷24,https://www.kyoto-be.ne.jp/tanabe-hs/mt
京都府,京都府立桃山高等学校,612-0063,京都府 京都市伏見区桃山毛利長門東町8,http://www.kyoto-be.ne.jp/momoyama-hs/
京都府,桂高等学校,615-8102,京都府 京都市西京区川島松ノ木本町27,https://www.kyoto-be.ne.jp/katsura-hs/mt/
京都府,乙訓高等学校,617-0843,京都府 長岡京市友岡1-1-1,https://www.kyoto-be.ne.jp/otokuni-hs/mt/
京都府,向陽高等学校,617-0006,京都府 向日市上植野町西大田,https://www.kyoto-be.ne.jp/kouyou-hs/
京都府,洛北高等学校,606-0851,京都府 京都市左京区下鴨梅ノ木町59,https://www.kyoto-be.ne.jp/rakuhoku-hs/mt/
京都府,京都教育大学附属高等学校,612-8431,京都府 京都市伏見区深草越後屋敷町111,https://koukou.kyokyo-u.ac.jp/
京都府,東舞鶴高等学校,625-0026,京都府 舞鶴市泉源寺766,http://www1.kyoto-be.ne.jp/higashimaizuru-hs/
京都府,西舞鶴高等学校,624-0841,京都府 舞鶴市引土145,http://www.kyoto-be.ne.jp/nishimaizuru-hs/
京都府,嵯峨野高等学校,616-8226,京都府 京都市右京区常盤段ノ上町15,https://www.kyoto-be.ne.jp/sagano-hs/mt/
京都府,京都府立園部高等学校,622-0004,京都府 南丹市園部町小桜町97番地,https://www.kyoto-be.ne.jp/sonobe-hs/
京都府,朱雀高等学校,604-8384,京都府 京都市中京区西ノ京式部町1,https://www.kyoto-be.ne.jp/suzaku-hs/mt/
京都府,京都府立亀岡高等学校,621-0812,京都府 亀岡市横町23,https://www.kyoto-be.ne.jp/kameoka-hs/
京都府,京都八幡高等学校（北キャンパス）,614-8363,京都府 八幡市男山吉井7,https://www.kyoto-be.ne.jp/kyotoyawata-hs/mt/
京都府,北嵯峨高等学校,616-8353,京都府 京都市右京区嵯峨大沢柳井手町,https://www.kyoto-be.ne.jp/kitasaga-hs/mt/
京都府,北桑田高等学校,601-0534,京都府 京都市右京区京北下弓削町沢ノ奥15,https://www.kyoto-be.ne.jp/kitakuwada-hs/cms/
京都府,東宇治高等学校,611-0002,京都府 宇治市木幡平尾43-2,https://www.kyoto-be.ne.jp/higashiuji-hs/mt/
京都府,木津高等学校,619-0214,京都府 木津川市木津内田山34,https://www.kyoto-be.ne.jp/kizu-hs/
京都府,福知山高等学校,620-0857,京都府 福知山市字土師650,https://www.kyoto-be.ne.jp/fukuchiyama-hs/cms/
京都府,洛東高等学校,607-8017,京都府 京都市山科区安朱川向町10,https://www.kyoto-be.ne.jp/rakutou-hs/mt/
京都府,華頂女子高等学校,605-0062,京都府 京都市東山区林下町3-456（知恩院山内）,https://www.kacho.ed.jp
京都府,洛西高等学校,610-1146,京都府 京都市西京区大原野西境谷町1丁目12-1・2,https://www.kyoto-be.ne.jp/rakusai-hs/
京都府,京都府立京都すばる高等学校,612-8156,京都府 京都市伏見区向島西定請120,https://www.kyoto-be.ne.jp/subaru-hs/mt/
京都府,立命館高等学校,617-8577,京都府 長岡京市調子1丁目1-1,https://www.ritsumei.ac.jp/nkc/
京都府,丹後緑風高等学校 網野学舎,629-3101,京都府 京丹後市網野町網野2820,https://www.kyoto-be.ne.jp/tangoryokufuu-hs/mt/amino_campus/
京都府,西乙訓高等学校,617-0845,京都府 長岡京市下海印寺西明寺41,https://www.kyoto-be.ne.jp/nishiotokuni-hs/mt/
京都府,丹後緑風高等学校 久美浜学舎,629-3444,京都府 京丹後市久美浜町橋爪65,http://www.kyoto-be.ne.jp/tangoryokufuu-hs/mt/kumihama/
京都府,洛星高等学校,603-8342,京都府 京都市北区小松原南町33,https://www.rakusei.ac.jp/
京都府,京都府立北稜高等学校,606-0015,京都府 京都市左京区岩倉幡枝町2105,https://www.kyoto-be.ne.jp/hokuryou-hs/mt/
京都府,紫野高等学校,603-8231,京都府 京都市北区紫野大徳寺町22,https://cms.edu.city.kyoto.jp/weblog/index.php?id=300803
京都府,京都光華高等学校,615-0861,京都府 京都市右京区西京極野田町39,https://hs.koka.ac.jp/senior/
京都府,堀川高等学校,604-8254,京都府 京都市中京区東堀川通錦小路上る四坊堀川町622-2,https://www.edu.city.kyoto.jp/hp/horikawa/
京都府,洛水高等学校,612-8283,京都府 京都市伏見区横大路向ヒ18,https://www.kyoto-be.ne.jp/rakusui-hs/mt/
京都府,東稜高等学校,601-1326,京都府 京都市伏見区醍醐新町裏町25-1,https://www.kyoto-be.ne.jp/touryou-hs/
京都府,宮津天橋高等学校 加悦谷学舎,629-2313,京都府 与謝郡与謝野町三河内810番地,https://www.kyoto-be.ne.jp/miyazutenkyou-hs/mt/kayadani/
京都府,南陽高等学校,619-0224,京都府 木津川市兜台6-2,https://www.kyoto-be.ne.jp/nannyou-hs/
京都府,東山高等学校,606-8445,京都府 京都市左京区永観堂町51,https://www.higashiyama.ed.jp/
京都府,西京高等学校,604-8437,京都府 京都市中京区西ノ京東中合町1,https://cms.edu.city.kyoto.jp/weblog/index.php?id=300308
京都府,鳥羽高等学校,601-8449,京都府 京都市南区西九条大国町1,https://www.kyoto-be.ne.jp/toba-hs/mt/
京都府,城南菱創高等学校,611-0042,京都府 宇治市小倉町南堀池,https://www.kyoto-be.ne.jp/jonanryoso-hs/mt/
京都府,農芸高等学校,622-0059,京都府 南丹市園部町南大谷下芝12,https://www.kyoto-be.ne.jp/nougei-hs/mt/
京都府,久御山高等学校,613-0033,京都府 久世郡久御山町林,https://www.kyoto-be.ne.jp/kumiyama-hs/mt/
京都府,日吉ケ丘高等学校,605-0000,京都府 京都市東山区今熊野悲田院山町5-22,https://cms.edu.city.kyoto.jp/weblog/index.php?id=300704
京都府,京都八幡高等学校（南キャンパス）,614-8236,京都府 八幡市内里柿谷16-1,https://www.kyoto-be.ne.jp/kyotoyawata-hs/mt/
京都府,京都府立南丹高等学校,621-0008,京都府 亀岡市馬路町中島1,https://www.kyoto-be.ne.jp/nantan-hs/cms/
京都府,京都精華学園高等学校,606-8305,京都府 京都市左京区吉田河原町5-1,http://www.k-seika.ed.jp/
京都府,西城陽高等学校,610-0117,京都府 城陽市枇杷庄京縄手46-1,https://www.kyoto-be.ne.jp/nishijyouyou-hs/mt/
京都府,莵道高等学校,611-0011,京都府 宇治市五ケ庄五雲峰4-1,https://www.kyoto-be.ne.jp/todou-hs/mt/
京都府,京都工学院高等学校,612-0884,京都府 京都市伏見区深草西出山町23,http://cms.edu.city.kyoto.jp/weblog/index.php?id=300254
京都府,京都つくば開成高等学校（通信制）,600-8327,京都府 京都市下京区西洞院七条上る福本町406,http://tkaisei-kyoto.jp/
京都府,綾部高等学校・東分校（定時制）,623-0012,京都府 綾部市川糸町堀ノ内18,http://www1.kyoto-be.ne.jp/higashi-ayabe-hs/
京都府,朱雀高等学校（通信制）,604-8384,京都府 京都市中京区西ノ京式部町1,http://www1.kyoto-be.ne.jp/suzaku-hs-tuu/index.htm
京都府,第一学院高等学校　京都キャンパス（通信制）,600-8418,京都府 京都市下京区烏丸通松原下ル五条烏丸町407-2烏丸KT第2ビル5F,https://www.daiichigakuin.ed.jp/campus/kyoto/
京都府,京都西山高等学校,617-0002,京都府 向日市寺戸町西野辺25,https://kyotonishiyama.ed.jp/
京都府,一燈園高等学校,607-8025,京都府 京都市山科区四ノ宮柳山町29,http://www.ittoen.ed.jp/
京都府,立命館宇治高等学校,611-0031,京都府 宇治市広野町八軒屋谷33-1,https://www.ritsumei.ac.jp/uji/
京都府,京都美山高等学校（通信制）,602-0926,京都府 京都市上京区元真如堂町358,http://www.miyama.ed.jp/
京都府,東舞鶴高等学校・浮島分校（定時制）,625-0035,京都府 舞鶴市溝尻150-13,http://www1.kyoto-be.ne.jp/ukishima-higashimaizuru-hs/
京都府,鴨沂高等学校（定時制）,602-0898,京都府 京都市上京区相国寺門前町709,http://www1.kyoto-be.ne.jp/ohki-hs/
京都府,峰山高等学校,627-8688,京都府 京丹後市峰山町古殿1185,https://www.kyoto-be.ne.jp/mineyama-hs/mt/
京都府,朱雀高等学校（定時制）,604-8384,京都府 京都市中京区西ノ京式部町1,http://www1.kyoto-be.ne.jp/suzaku-hs/
京都府,桃山高等学校（定時制）,612-0063,京都府 京都市伏見区桃山毛利長門東町8,http://www1.kyoto-be.ne.jp/momoyama-hs/
京都府,京都共栄学園高等学校,620-0933,京都府 福知山市篠尾62-5,https://www.kyoei.ed.jp/
京都府,同志社女子高等学校,602-0893,京都府 京都市上京区今出川通寺町西入ル,https://www.girls.doshisha.ac.jp/
京都府,京都共栄学園高等学校（通信制）,620-0933,京都府 福知山市篠尾62-5,http://www.kyoei.ed.jp/cs/
京都府,京都西山高等学校　（通信制）,617-0002,京都府 向日市寺戸町西野辺25,http://kyotonishiyama.ed.jp/tsushin/
京都府,綾部高等学校,623-0042,京都府 綾部市岡町長田18,http://www.kyoto-be.ne.jp/ayabe-hs/
京都府,西京高等学校（定時制）,604-8437,京都府 京都市中京区西ノ京東中合町1,http://www.edu.city.kyoto.jp/hp/saikyo/
京都府,福知山成美高等学校,620-0876,京都府 福知山市堀3471-1,https://www.seibi-hs.jp/
京都府,鳥羽高等学校（定時制）,601-8449,京都府 京都市南区西九条大国町1,http://www1.kyoto-be.ne.jp/toba-hs/
京都府,福知山高等学校・三和分校（定時制）,620-1442,京都府 福知山市三和町千束小字橋ノ谷35-1,http://www1.kyoto-be.ne.jp/fukuchiyama-hs/
京都府,綾部高等学校・由良川キャンパス（東分校）,623-0012,京都府 綾部市川糸町堀ノ内18,https://www.kyoto-be.ne.jp/higashi-ayabe-hs/cms/
京都府,京都奏和高等学校（定時制・単位制）,612-0011,京都府 京都市伏見区深草鈴塚町13,https://cms.edu.city.kyoto.jp/weblog/index.php?id=301107
京都府,北桑田高等学校・美山分校（定時制）,601-0721,京都府 南丹市美山町上平屋梁ケ瀬9-2,http://www1.kyoto-be.ne.jp/kitakuwada-hs/
京都府,京都芸術大学附属高等学校 （通信制）,606-8252,京都府 京都市左京区北白川上終町24,https://shs.kyoto-art.ac.jp/
京都府,宮津高等学校・伊根分校（定時制）,626-0425,京都府 与謝郡伊根町日出252,http://www1.kyoto-be.ne.jp/miyazu-hs/
京都府,西舞鶴高等学校（通信制）,624-0841,京都府 舞鶴市引土145,http://www1.kyoto-be.ne.jp/nishimaizuru-hs/
京都府,京都成章高等学校,610-1106,京都府 京都市西京区大枝沓掛町26,https://kyoto-seisho.ed.jp/
佐賀県,東明館高等学校,841-0204,佐賀県 三養基郡基山町宮浦683,https://www.tomeikan.ed.jp/
佐賀県,弘学館高等学校,849-0906,佐賀県 佐賀市金立町金立1544-1,https://www.kogakukan.ac.jp/
佐賀県,佐賀農業高等学校,849-1112,佐賀県 杵島郡白石町福田1660,https://www.education.saga.jp/hp/saganougyoukoukou/
佐賀県,敬徳高等学校,848-0027,佐賀県 伊万里市立花町86,https://keitoku.ed.jp/
佐賀県,Ｎ高等学校・Ｓ高等学校　佐賀駅前キャンパス（通信制）,840-0801,佐賀県 佐賀市駅前中央1-9-38佐賀新聞 佐賀駅前ビル1F,
佐賀県,龍谷高等学校,840-0054,佐賀県 佐賀市水ケ江3-1-25,https://www.sagaryukoku.ed.jp/hsc/
佐賀県,佐賀清和高等学校,849-0919,佐賀県 佐賀市兵庫北二丁目14番1号,https://sagaseiwa.com/highschool/
佐賀県,敬徳高等学校（通信制）,848-0027,佐賀県 伊万里市立花町86,https://keitoku.ed.jp/
佐賀県,神埼高等学校,842-0013,佐賀県 神埼市神埼町本告牟田3076番2,https://www.education.saga.jp/hp/kanzakikoukou/
佐賀県,佐賀工業高等学校,840-0841,佐賀県 佐賀市緑小路1-1,http://cms.saga-ed.jp/hp/sagakougyoukoukou/
佐賀県,佐賀北高等学校,840-0851,佐賀県 佐賀市天祐2-6-1,http://cms.saga-ed.jp/hp/sagakitakoukou/
佐賀県,佐賀東高等学校,840-0016,佐賀県 佐賀市南佐賀3-11-15,https://www.education.saga.jp/hp/sagahigashikoukou/
佐賀県,太良高等学校,849-1602,佐賀県 藤津郡太良町多良4212-6,http://cms.saga-ed.jp/hp/tarakoukou/home/homeMain.do
佐賀県,武雄高等学校,843-0022,佐賀県 武雄市武雄町武雄5540-2,https://www.education.saga.jp/hp/takeokoukou
佐賀県,小城高等学校,845-0001,佐賀県 小城市小城町176,https://www.education.saga.jp/hp/ogikoukou/
佐賀県,鹿島高等学校,849-1311,佐賀県 鹿島市高津原462,http://cms.saga-ed.jp/hp/kashimakoukou/
佐賀県,鳥栖高等学校,841-0038,佐賀県 鳥栖市古野町600-1,https://www.education.saga.jp/hp/tosukoukou/
佐賀県,唐津東高等学校,847-0028,佐賀県 唐津市鏡新開1番地,https://www.education.saga.jp/hp/karatsuhigashikoukou/
佐賀県,佐賀西高等学校,840-0041,佐賀県 佐賀市城内1-4-25,https://www.education.saga.jp/hp/saganishikoukou/
