高校名,学校独自URL
京都国際高等学校,https://kyoto-kokusai.ed.jp/jp/
京都暁星高等学校,https://kghs.ed.jp/
京都廣学館高等学校（通信制）,https://kyoto-kogakkan.mkg.ac.jp/step-up/
平安女学院高等学校,https://jh.heian.ac.jp/
京都西山高等学校　（通信制）,http://kyotonishiyama.ed.jp/tsushin/
