高校名,学校独自URL
英真学園高等学校,https://eishingakuen.ac.jp/
梅花高等学校,https://www.baika-jh.ed.jp/
大阪学芸高等学校,https://www.osakagakugei.ac.jp/senior/
大商学園高等学校,https://www.daisho.ac.jp/
大阪体育大学浪商高等学校,https://www.ouhs-school.jp/namisho/
金蘭会高等学校,https://www.kinran.ed.jp
大阪偕星学園高等学校,https://www.osaka-kaisei.ac.jp/
