高校名,学校独自URL
身延山高等学校,http://www.min.ac.jp/minhi/
日本大学明誠高等学校,http://www.meisei.hs.nihon-u.ac.jp/
甲斐清和高等学校,https://seika.ito-gakuen.ed.jp/
