高校名,学校独自URL
オイスカ浜松国際高等学校,https://www.oisca.ed.jp
静岡県富士見高等学校,http://www.fujimi.ed.jp/
島田樟誠高等学校,https://shosei.ed.jp/
静岡英和女学院高等学校,http://www.shizuoka-eiwa.ed.jp/
浜松学芸高等学校,https://www.gakugei.ed.jp/
静岡学園高等学校,https://www.shizugaku.ed.jp/
藤枝明誠高等学校,https://www.fgmeisei.ed.jp/
