高校名,学校独自URL,生徒数,国公立合格者数,合格率
桐朋高等学校,https://www.toho.ed.jp/,2025,-,-
文華女子高等学校,https://www.bunkagakuen.ac.jp,100,-,-
明星学園高等学校,https://www.myojogakuen.ed.jp/high_school/,-,-,-
自由学園高等部,https://jiyu.school/,-,-,-
武蔵野大学高等学校,https://www.musashino-u.ed.jp/,-,-,-
荒川工科高等学校,https://www.metro.ed.jp/arakawakoka-h/,-,-,-
大島高等学校,https://www.metro.ed.jp/oshima-h/,-,-,-
小笠原高等学校,http://www.ogasawara-h.metro.tokyo.jp/,-,-,-
墨田川高等学校,https://www.metro.ed.jp/sumidagawa-h/,-,-,-
大泉高等学校,https://oizumi-h.metro.ed.jp/main/index.html,-,-,-
青山高等学校,http://www.aoyama-h.metro.tokyo.jp/,-,-,-
大山高等学校,https://www.metro.ed.jp/ohyama-h/,-,-,-
板橋高等学校,https://www.metro.ed.jp/itabashi-h/,-,-,-
足立高等学校,https://www.metro.ed.jp/adachi-h/,-,-,-
筑波大学附属駒場高等学校,https://www.komaba-s.tsukuba.ac.jp/,-,-,-
足立工科高等学校,https://www.metro.ed.jp/adachikoka-h/,-,-,-
足立東高等学校,https://www.metro.ed.jp/adachihigashi-h,-,-,-
大田桜台高等学校,http://www.oota-sakuradai-h.metro.tokyo.jp,-,-,-
立教池袋高等学校,https://ikebukuro.rikkyo.ac.jp/,-,-,-
大島海洋国際高等学校,https://www.metro.ed.jp/oosimakaiyokokusai-h/,-,-,-
大森高等学校,http://www.omori-h.metro.tokyo.jp/,-,-,-
お茶の水女子大学附属高等学校,https://www.fz.ocha.ac.jp/fk/,-,-,-
園芸高等学校,https://www.metro.ed.jp/engei-h/,-,-,-
東京科学大学附属科学技術高等学校,http://www.hst.titech.ac.jp/,-,-,-
江戸川高等学校,https://www.metro.ed.jp/edogawa-h/,-,-,-
井草高等学校,https://www.metro.ed.jp/igusa-h/,-,-,-
東京学芸大学附属高等学校,http://www.gakugei-hs.setagaya.tokyo.jp/,2025,-,-
上野高等学校,https://www.metro.ed.jp/ueno-h/,-,77,-
足立西高等学校,https://www.metro.ed.jp/adachinishi-h/,-,-,-
五日市高等学校,http://www.itsukaichi-h.metro.tokyo.jp/,-,-,-
大崎高等学校,http://www.osaki-h.metro.tokyo.jp/,-,-,-
筑波大学附属高等学校,https://www.high-s.tsukuba.ac.jp/,-,-,-
忍岡高等学校,https://www.metro.ed.jp/shinobugaoka-h/,-,-,-
小岩高等学校,http://www.koiwa-h.metro.tokyo.jp/,-,-,-
小松川高等学校,https://www.metro.ed.jp/komatsugawa-h/,-,-,-
杉並総合高等学校,https://www.metro.ed.jp/suginamisogo-h/,-,-,-
葛西南高等学校,http://www.kasaiminami-h.metro.tokyo.jp,-,-,-
小平高等学校,http://www.kodaira-h.metro.tokyo.jp/,-,-,-
葛西工科高等学校,https://www.metro.ed.jp/kasaikoka-h/,-,-,-
桜町高等学校,https://www.metro.ed.jp/sakuramachi-h/,-,-,-
小山台高等学校,https://www.metro.ed.jp/koyamadai-h/,-,-,-
世田谷総合高等学校,http://www.setagaya-sogo-h.metro.tokyo.jp,-,-,-
六本木高等学校（定時制）,https://www.metro.ed.jp/roppongi-he/,-,-,-
北豊島工科高等学校,https://www.metro.ed.jp/kitatoshimakoka-h/,-,-,-
国立高等学校,http://www.kunitachi-h.metro.tokyo.jp/,-,-,-
蔵前工科高等学校,https://www.metro.ed.jp/kuramaekoka-h/,-,-,-
片倉高等学校,http://www.katakura-h.metro.tokyo.jp/,-,-,-
