高校名,学校独自URL,生徒数,国公立合格者数,合格率
浜松西高等学校,https://www.edu.pref.shizuoka.jp/hamamatsunishi-h/,-,-,-
浜松南高等学校,https://www.edu.pref.shizuoka.jp/hamamatsuminami-h/home.nsf/IndexFormView?OpenView,-,-,-
相良高等学校,https://www.edu.pref.shizuoka.jp/sagara-h/home.nsf/IndexFormView?OpenView,-,-,-
磐田北高等学校,https://www.edu.pref.shizuoka.jp/iwatakita-h/home.nsf/,-,-,-
川根高等学校,http://www.edu.pref.shizuoka.jp/kawane-h/home.nsf/,-,-,-
磐田南高等学校,https://www.edu.pref.shizuoka.jp/iwataminami-h/home.nsf/,-,-,-
袋井高等学校,http://www.edu.pref.shizuoka.jp/fukuroi-h/home.nsf/,-,-,-
掛川西高等学校,https://www.edu.pref.shizuoka.jp/kakegawanishi-h/home.nsf/IndexFormView?OpenView,-,-,-
静岡県立浜松湖北高等学校佐久間分校,httpS://www.edu.pref.shizuoka.jp/sakuma-b/home.nsf,-,-,-
横須賀高等学校,http://www.edu.pref.shizuoka.jp/yokosuka-h/home.nsf/,-,-,-
浜松城北工業高等学校,http://www.edu.pref.shizuoka.jp/hamamatsujohoku-th/home.nsf,-,-,-
天竜高等学校,https://www.edu.pref.shizuoka.jp/tenryu-h/,-,-,-
磐田西高等学校,http://www.edu.pref.shizuoka.jp/iwatanishi-h/home.nsf/,-,-,-
榛原高等学校,https://www.edu.pref.shizuoka.jp/haibara-h/home.nsf/,-,-,-
静岡大成高等学校,https://www.s-taisei.ed.jp,-,-,-
天竜高等学校春野校舎,https://www.edu.pref.shizuoka.jp/haruno-b/home.nsf/IndexFormView?OpenView,-,-,-
飛龍高等学校,https://hiryu.ed.jp/,-,-,-
東海大学付属静岡翔洋高等学校,https://www.shoyo.tokai.ed.jp/,-,-,-
新居高等学校,https://arai-h.ed.jp/,-,-,-
御殿場西高等学校,https://gotembanishi-h.ed.jp/,-,-,-
浜松湖北高等学校,http://www.edu.pref.shizuoka.jp/kohoku-h/home.nsf,-,-,-
静岡サレジオ高等学校,https://www.ssalesio.ac.jp/,-,-,-
浜松湖南高等学校,https://www.edu.pref.shizuoka.jp/hamamatsukonan-h/home.nsf,-,-,-
富士東高等学校,https://www.edu.pref.shizuoka.jp/fujihigashi-h/home.nsf/,-,-,-
城南静岡高等学校,https://www.johnan.ac.jp/,-,-,-
静岡県立駿河総合高等学校,https://www.edu.pref.shizuoka.jp/surugasogo-h/home.nsf/IndexFormView?OpenView,-,-,-
伊豆中央高等学校,http://www.edu.pref.shizuoka.jp/izuchuo-h/home.nsf,-,-,-
浜北西高等学校,https://www.edu.pref.shizuoka.jp/hamakitanishi-h/home.nsf/,-,-,-
沼津高等学校,https://swa.numazu-szo.ed.jp/numazu200,-,-,-
浜名高等学校,http://www.edu.pref.shizuoka.jp/hamana-h/home.nsf,-,-,-
加藤学園高等学校,https://www.katogaku.jp/KatohHS/,-,-,-
静岡理工科大学星陵高等学校,https://starhill.ed.jp/,-,-,-
静岡市立高等学校,http://www.shizuokacity-h.ed.jp/,-,-,-
小山高等学校,http://www.edu.pref.shizuoka.jp/oyama-h/home.nsf/,-,-,-
富士市立高等学校,https://fuji-ichiritsu.jp/,-,-,-
三島長陵高等学校（三部制・単位制）,http://www.edu.pref.shizuoka.jp/mishimachoryo-h/home.nsf,-,-,-
富士宮西高等学校,http://www.edu.pref.shizuoka.jp/fujinomiyanishi-h/home.nsf,-,-,-
浜松市立高等学校,https://www.city.hamamatsu-szo.ed.jp/ichiritsu-h/,-,-,-
静岡県立浜松江之島高等学校,http://www.edu.pref.shizuoka.jp/hamamatsuenoshima-h/home.nsf,-,-,-
湖西高等学校,https://www.edu.pref.shizuoka.jp/kosai-h/home.nsf,-,-,-
静岡英和女学院高等学校,http://www.shizuoka-eiwa.ed.jp/,-,-,-
清流館高等学校,https://www.edu.pref.shizuoka.jp/seiryukan-h/home.nsf/IndexFormView?OpenView,-,-,-
日本大学三島高等学校,https://www.mishima.hs.nihon-u.ac.jp/,-,-,-
清水桜が丘高等学校,http://www.s-city.ed.jp/,-,-,-
浜松北高等学校（定時制）,http://www.edu.pref.shizuoka.jp/hamamatsukita-h/home.nsf/,-,-,-
桐陽高等学校,https://toyo-numazu.ac.jp/,-,-,-
科学技術高等学校（定時制）,http://www3.sths.shizuoka-c.ed.jp/,-,-,-
磐田南高等学校（定時制）,http://www.edu.pref.shizuoka.jp/iwataminami-h/home.nsf/,-,-,-
常葉大学附属橘高等学校,https://www.tokoha.ac.jp/tachibana-jh/,-,-,-
清水東高等学校（定時制）,http://www.edu.pref.shizuoka.jp/shimizuhigashi-h/home.nsf/IndexFormView?OpenView,-,-,-
静岡北高等学校,https://shizukita.jp/,-,6,-
榛原高等学校（定時制）,http://www.edu.pref.shizuoka.jp/haibara-h/home.nsf/,-,-,-
浜松学芸高等学校,https://www.gakugei.ed.jp/,2025,-,-
浜名高等学校（定時制）,http://www.edu.pref.shizuoka.jp/hamana-h/home.nsf/IndexFormView?OpenView,-,-,-
浜松学院興誠高等学校,https://www.hamagaku.ac.jp/gakuin/,-,-,-
静岡県西遠女子学園高等学校,https://www.seien.ed.jp/,-,-,-
浜松日体高等学校,https://www.h-nittai.ed.jp/,-,-,-
静岡学園高等学校,https://www.shizugaku.ed.jp/,-,-,-
藤枝東高等学校（定時制）,http://www.edu.pref.shizuoka.jp/fujiedahigashi-h/home.nsf/,-,-,-
島田商業高等学校（定時制）,http://www.edu.pref.shizuoka.jp/shimada-ch/home.nsf/,-,-,-
磐田東高等学校,https://www.iwatahigashi-h.ed.jp/,-,-,-
富士宮東高等学校（定時制）,http://www.edu.pref.shizuoka.jp/fujinomiyahigashi-h/home.nsf/,-,-,-
静清高等学校,https://seisei.ed.jp/,-,-,-
富士高等学校（定時制）,http://www.edu.pref.shizuoka.jp/fuji-h/home.nsf/,-,-,-
藤枝明誠高等学校,https://www.fgmeisei.ed.jp/,-,-,-
浜松開誠館高等学校,https://www.kaiseikan.ed.jp/,-,-,-
沼津工業高等学校（定時制）,http://www.edu.pref.shizuoka.jp/numazu-th/home.nsf/IndexFormView?OpenView,-,-,-
聖隷クリストファー高等学校,https://www.seirei.ed.jp/,-,-,-
浜松工業高等学校（定時制）,http://www.hamako-ths.ed.jp/,-,-,-
下田高等学校・南伊豆分校,https://www.edu.pref.shizuoka.jp/minamiizu-b/home.nsf/,-,-,-
静岡高等学校（定時制）,http://www.edu.pref.shizuoka.jp/shizuoka-h1/home.nsf/,-,-,-
常葉大学附属菊川高等学校,https://tokoha.net/kikugawa/,-,-,-
静岡市立高等学校（定時制）,http://www.shizuokacity-h.ed.jp/,-,-,-
小山高等学校（定時制）,http://www.edu.pref.shizuoka.jp/oyama-h/home.nsf/,-,-,-
浜松啓陽高等学校,https://keiyo.ed.jp/,-,-,-
静岡中央高等学校（定時制）,http://shizuokachuo-h.sakura.ne.jp/chuo/,-,-,-
新居高等学校（定時制）,http://www.edu.pref.shizuoka.jp/arai-h/home.nsf/,-,-,-
浜松大平台高等学校,http://www.edu.pref.shizuoka.jp/hamamatsuohiradai-h/home.nsf/,-,-,-
浜松大平台高等学校（定時制）,http://www.edu.pref.shizuoka.jp/hamamatsuohiradai-h/home.nsf/,-,-,-
キラリ高等学校（通信制）,http://www.kirari-highschool.jp/,-,-,-
静岡中央高等学校（通信制）,http://shizuokachuo-h.sakura.ne.jp/chuo/,-,-,-
